Strigatreatment_selection,strigapest,plot_data_id,county
Soyabean,yellow_light,265,KISUMU
Manure,yellow_light,266,KISUMU
FarmerOwnPractice,yellow_light,267,KISUMU
Desmodium,yellow_light,268,KISUMU
Soyabean,yellow_light,269,KISUMU
Manure,yellow_light,270,KISUMU
FarmerOwnPractice,yellow_light,271,KISUMU
Desmodium,red_light,272,BUSIA
Lablab,yellow_light,273,BUSIA
FarmerOwnPractice,yellow_light,274,BUSIA
Desmodium,red_light,275,BUSIA
Lablab,yellow_light,276,BUSIA
Soyabean,yellow_light,277,BUSIA
FarmerOwnPractice,yellow_light,278,BUSIA
Desmodium,yellow_light,279,BUSIA
Lablab,yellow_light,280,BUSIA
FarmerOwnPractice,yellow_light,281,BUSIA
Lablab,yellow_light,282,MIGORI
FarmerOwnPractice,red_light,283,MIGORI
Desmodium,yellow_light,284,BUSIA
Soyabean,yellow_light,285,BUSIA
Manure,yellow_light,286,BUSIA
Desmodium,red_light,323,VIHIGA
Lablab,yellow_light,324,VIHIGA
Manure,red_light,325,VIHIGA
FarmerOwnPractice,red_light,326,VIHIGA
Desmodium,yellow_light,327,VIHIGA
Lablab,yellow_light,328,VIHIGA
Manure,green_light,329,VIHIGA
FarmerOwnPractice,red_light,330,VIHIGA
Desmodium,yellow_light,331,SIAYA
Lablab,yellow_light,332,SIAYA
Soyabean,yellow_light,333,SIAYA
Manure,yellow_light,334,SIAYA
Desmodium,yellow_light,335,SIAYA
Lablab,yellow_light,336,SIAYA
Soyabean,yellow_light,337,SIAYA
Manure,yellow_light,338,SIAYA
FarmerOwnPractice,red_light,339,SIAYA
Lablab,yellow_light,340,SIAYA
Soyabean,red_light,341,SIAYA
Manure,yellow_light,342,SIAYA
Desmodium,yellow_light,343,VIHIGA
Soyabean,yellow_light,344,VIHIGA
Manure,yellow_light,345,VIHIGA
FarmerOwnPractice,red_light,346,VIHIGA
Desmodium,green_light,347,VIHIGA
Lablab,yellow_light,348,VIHIGA
Manure,yellow_light,349,VIHIGA
FarmerOwnPractice,red_light,350,VIHIGA
Desmodium,yellow_light,351,VIHIGA
Soyabean,yellow_light,352,VIHIGA
Manure,red_light,353,VIHIGA
FarmerOwnPractice,red_light,354,VIHIGA
Desmodium,green_light,355,VIHIGA
Lablab,green_light,356,VIHIGA
Manure,yellow_light,357,VIHIGA
FarmerOwnPractice,red_light,358,VIHIGA
Desmodium,green_light,359,VIHIGA
Soyabean,yellow_light,360,VIHIGA
Manure,yellow_light,361,VIHIGA
FarmerOwnPractice,red_light,362,VIHIGA
Desmodium,yellow_light,363,VIHIGA
Soyabean,yellow_light,364,VIHIGA
Manure,yellow_light,365,VIHIGA
Desmodium,red_light,366,VIHIGA
